group,horizon_days,n,positive_rate,negative_rate,mean_return,median_return,avg_winner,avg_loser,median_winner,median_loser,bottom_10pct,bottom_5pct,worst_return,median_mae,median_mfe,mean_mae,mean_mfe,universe_label,bucket
B,5,1125,0.5368888888888889,0.4631111111111111,0.002350545964146804,0.002815994850412,0.020689297315268477,-0.01890973391316124,0.0166479669012751,-0.0144886092841951,-0.029592317294319978,-0.04260794975149468,-0.1049317247776485,-0.0161486898232955,0.0154798761607968,-0.020835937562265833,0.020047243197543235,IWM,non_spy_etf
B,10,1125,0.6026666666666667,0.3973333333333333,0.006674014309477089,0.0078491727582707,0.02828893867232063,-0.026111038750943318,0.022980316642851648,-0.020520271059783,-0.035759475236886516,-0.05090872123565062,-0.1473829201109133,-0.021143152722029,0.0239722533917008,-0.028577688785019182,0.030154940229675256,IWM,non_spy_etf
B,20,1125,0.6284444444444445,0.37155555555555553,0.012912078313251474,0.0159945699204502,0.04367430368740621,-0.03911876699662268,0.0384344163409311,-0.0299731573930334,-0.04992423940251964,-0.07005130981207072,-0.2142857142859257,-0.0287557620602749,0.0397094430991546,-0.03932185754795392,0.046625368137699325,IWM,non_spy_etf
C,1,3817,0.5187319884726225,0.4812680115273775,-0.00015310483056562917,0.0003992547250779,0.007022131662669352,-0.007886892667585368,0.0056959708206304,-0.0057906990626421,-0.012788099911172841,-0.01763098421179132,-0.041819723085721,-0.0059117402169885,0.005458707519194,-0.007867280151613925,0.006754778105397967,IWM,non_spy_etf
C,3,3817,0.5386429132826828,0.4613570867173173,0.000748105739746996,0.0017498541789937,0.014031766370143497,-0.01476081320181757,0.0117096868538263,-0.0110977804433524,-0.02326792587153728,-0.03123326486666364,-0.1241601719966226,-0.0111374840241071,0.0108401084005207,-0.014516307866062029,0.01331486262156831,IWM,non_spy_etf
C,5,3817,0.5509562483625884,0.44904375163741156,0.0018336122641413259,0.0035191552062898,0.019145075875284447,-0.01940676578383649,0.016383935043913,-0.0152190684816047,-0.02887216017161742,-0.0394538732819024,-0.174860618347615,-0.0142122028899018,0.0145745798333523,-0.018982941486732696,0.017959854718559272,IWM,non_spy_etf
C,10,3817,0.5763688760806917,0.42363112391930835,0.004335269835434188,0.006162110917578,0.02705030854784132,-0.026569544739269393,0.02290965031548895,-0.0197450053602681,-0.03719270966675386,-0.052791002760821805,-0.3283391561410468,-0.0198817379390555,0.0222109189555832,-0.026892314186478156,0.02653518494613995,IWM,non_spy_etf
C,20,3817,0.6230023578726749,0.3769976421273251,0.009072280260281135,0.013872441211099,0.038601507656481876,-0.03972584534650508,0.0332077256791013,-0.0304004113380553,-0.0506163606828951,-0.07030623839840391,-0.4045860631331704,-0.0280898876390311,0.034361542792237,-0.0375019252611742,0.03953153719350852,IWM,non_spy_etf
D,1,861,0.4912891986062718,0.5087108013937283,-0.0005180463029280101,0.0,0.00664764053912967,-0.007438332910668647,0.0052631578939192,-0.0054701613224714,-0.0122970978840364,-0.0166536269141841,-0.0365322868352063,-0.0058343789211374,0.0049461934357215,-0.00791083260883514,0.006284828458759086,IWM,non_spy_etf
D,3,861,0.5249709639953543,0.47502903600464574,0.000518745710712245,0.0011637748629078,0.013425818710461649,-0.013745305623974137,0.01040123580918915,-0.0101253616197108,-0.0204540080387597,-0.0293466223704617,-0.1049317247776485,-0.0111097546085611,0.0101589763471503,-0.014423202242229174,0.012688271791958822,IWM,non_spy_etf
D,5,861,0.5238095238095238,0.47619047619047616,0.0015660167891444986,0.0019870839543483,0.018539766485898754,-0.01710510787728518,0.0158200853042873,-0.01313393554652965,-0.0267910005912924,-0.0388074291296851,-0.1049317247776485,-0.0146017699106136,0.013394171327669,-0.018708164859118595,0.01711007789948957,IWM,non_spy_etf
D,10,861,0.5807200929152149,0.41927990708478513,0.004672648494742076,0.0053903166808857,0.025202677917679276,-0.023762295304339907,0.021504868582549,-0.0185277294207082,-0.0342697989827898,-0.0482024826692059,-0.1341681574242619,-0.0196460707858713,0.0202361953396108,-0.026514681440726395,0.025738554262485624,IWM,non_spy_etf
D,20,861,0.6144018583042973,0.38559814169570267,0.009750003293165657,0.0120843682357087,0.03946037834609516,-0.03758972081225514,0.0347072200122968,-0.0274228145979696,-0.0479744136445511,-0.0695719643086613,-0.2142857142859257,-0.0276989247317331,0.0351308797479736,-0.03763462788990252,0.0404078335484632,IWM,non_spy_etf
A,1,5549,0.49648585330690215,0.5035141466930979,-5.096579293478114e-05,0.0,0.009075305971702101,-0.009049848653197707,0.0065130260547172,-0.0064177016191147,-0.014443315392502178,-0.020526920791959138,-0.0896503980662121,-0.006376195530873,0.0060065878709478,-0.009086351510417003,0.008424294201928246,XLB,non_spy_etf
A,3,5549,0.528383492521175,0.471616507478825,0.0008028171167536706,0.0015009380834691,0.01761005673463293,-0.018027456692807656,0.013284856402308101,-0.0131215469667574,-0.027529290121439662,-0.03910614525271318,-0.1777999335398283,-0.0120753089992216,0.0123279816494337,-0.01739507845504651,0.016833228430395156,XLB,non_spy_etf
A,5,5549,0.547486033519553,0.45251396648044695,0.0016570064067586432,0.0028495827425396,0.02275590474651801,-0.023870055782086022,0.0168788651298903,-0.0169981916827488,-0.036247302922496435,-0.05103137362528654,-0.1881188118826197,-0.0155462184961443,0.0165711947647253,-0.02289607072154329,0.022548170239638236,XLB,non_spy_etf
A,10,5549,0.5694719769327807,0.4305280230672193,0.0037494523302206346,0.0062998739978381,0.03205172979452775,-0.0336867958017218,0.02517836952297765,-0.0234356391309734,-0.04805997200676006,-0.06973849917059055,-0.2691924227296718,-0.021944641171143,0.0255979857312871,-0.032618411928970956,0.033017546336302245,XLB,non_spy_etf
A,20,5549,0.5961434492701387,0.40385655072986126,0.007853766134683709,0.0114241987387746,0.044553150013620146,-0.04631917535193911,0.03539759601338275,-0.0332294911733165,-0.06247938144791318,-0.09717802954497257,-0.3605582838000917,-0.0310909090906048,0.0389216047112395,-0.04591563044348765,0.04783228228959188,XLB,non_spy_etf
B,1,1148,0.48606271777003485,0.5139372822299652,-0.000473332926447553,0.0,0.008386221157414856,-0.008852368822710644,0.0064123460026815505,-0.00667408231314925,-0.01383808325943554,-0.01937310018821751,-0.0503078276168739,-0.0068459056554848,0.0057259714774510004,-0.009105570387417121,0.007740799251645727,XLB,non_spy_etf
B,3,1148,0.5052264808362369,0.49477351916376305,-0.0005403332377805647,0.00041444848369525,0.01606341089852556,-0.017494860700910057,0.0115121508276173,-0.012789357256041349,-0.027625914510447828,-0.039058700293921736,-0.1106870229024316,-0.013105404609497051,0.01145435836783275,-0.017295931148627975,0.015606002011963003,XLB,non_spy_etf
B,5,1148,0.5052264808362369,0.49477351916376305,-0.00018103285114358546,0.0005161620684861,0.021249313183973596,-0.02206413267573507,0.0158918148646457,-0.0160800213448682,-0.03455767468348861,-0.04853162592654002,-0.1053254437812579,-0.0165386720436402,0.01575411382901825,-0.022602182407415284,0.02078905617216779,XLB,non_spy_etf
B,10,1148,0.5270034843205574,0.4729965156794425,0.0010111575492645043,0.00254756596628985,0.029726741052332098,-0.030983185027818175,0.0236034618416396,-0.0231408672203218,-0.04697652915060558,-0.06762103609877423,-0.201556224896953,-0.023970241082693397,0.023275731573446798,-0.03215782028882814,0.030400037300205542,XLB,non_spy_etf
B,20,1148,0.5679442508710801,0.43205574912891986,0.0044061923397507,0.0074029467629459,0.04042308712488892,-0.04293859677297132,0.03303010774489655,-0.03462794080199075,-0.062208012274502685,-0.09121496238090825,-0.1967871485923477,-0.0326040938021182,0.0358026543025228,-0.045257757817375614,0.04462645827873197,XLB,non_spy_etf
C,1,4078,0.4965669445806768,0.5034330554193231,-0.00029238719509148265,0.0,0.007249621873311491,-0.007731533986867431,0.0056944444439981,-0.0055856743872235,-0.012535825893178988,-0.018009656410361032,-0.0503078276168739,-0.00548281525551445,0.00521775606715295,-0.007554982441677075,0.006843527467621314,XLB,non_spy_etf
